professionName,professionEnglishName,agricultureOrForestryRelated,manualLabor,education,SESgroup1989,occupationCategory,socialClassRank
piirijohtaja,district Director,,,,3,1,
pormestari,mayor,,,,2,1,
postiapulainen,post office assistant,,,,5,8,
prässäri,prässäri,,,,,6,
puhtaaksikirjoittaja,copyist,,,,,1,
pukuompelija,clothes manufacturing,,,,,6,
putkityömies,tube worker,,,,5,6,
puutarhanviljelijä,garden farmer,,,,,3,
puutavaramyyjä,the timber seller,,,,,2,
puutyönopettaja,puutyönopettaja,,,,,0,
pyöräkuormaajankuljettaja,wheel loader driver,,,,5,5,
pyykkäri,laundress,,,,,8,
raitiovaunun rahastaja,tram to the conductor,,,,,5,
rajaylivääpeli evp,rajaylivääpeli ret,,,,,8,
rautatiet,railway,,,,5,5,
ravintolaemäntä,restaurant hostess,,,,5,8,
ravintolanpitäjä,restaurant manager,,,,4,2,
ruiskumestari,Burgher,,,,,6,
säätäjä,regulator,,,,,6,
sähkötyöntekijä,electrical worker,,,,5,6,
satamavartija,harbor guard,,,,5,8,
saunanhoitaja,bath attendant,,,,5,8,
saunottaja,sauna attendant,,,,5,8,
sirkkelisahuri,sirkkelisahuri,,,,,6,
sokerityöläinen,sugar worker,,,,,6,
sosiaalihuoltaja,Social guardian,,,,,0,
sot.mevp,sot.mevp,,,,,8,
sotilaskodin johtajatar,military home manageress,,,,,1,
sotilasvirkailija,military officer,,,,,1,
sotilasvirkamies,military official,,,,,1,
sotilasvirkamies evp,retired military officer,,,,,1,
taaplari,taaplari,,,,,,
taidegraafikko,printmaker,,,,3,0,
talonhoitaja,house attendant,,,,5,8,
talousmestari,economic champion,,,,3,2,
tapuloitsija,tapuloitsija,,,,,6,
tehd.työl,tehd.työl,,,,,6,
teht.työl,teht.työl,,,,,6,
tehtaanvartija,factory guard,,,,5,8,
tekniopettaja,tekniopettaja,,,,,0,
telakkatyöläinen,a shipyard worker,,,,5,6,
tiilimestari,brick champion,,,,5,2,
toimistoesimies,Office supervisor,,,,4,1,
toimistusjohtaja,toimistusjohtaja,,,,,1,
toimituspäällikkö,Managing Editor,,,1,3,1,
työkalujyrsijä,työkalujyrsijä,,,,,6,
työkalukorjaaja,tool repairman,,,,5,6,
työnjärjestelijä,työnjärjestelijä,,,,,6,
työnjohtoja,the work of wires,,,,,0,
työnvälittäjä,The dispatcher,,,,,0,
uittotyömies,floating laborer,,,,,3,
vaihdetyöntekijä,shift worker,,,,,5,
valtiot.maisteri,valtiot.maisteri,,,,,0,
vanh.konst,vanh.konst,,,,,8,
vanh.konstaapeli,vanh.konstaapeli,,,,,8,
vanhainkodin johtajatar,nursing home manageress,,,,,1,
varamies,deputy,,,,,,
vartiopäällikkö,Security chief,,,,,,
vastaanottaja,recipient,,,,,6,
vaununsiivooja,chambermaid trolley,,,,,8,
vaunupuuseppä,trolley carpenter,,,,,6,
veistonohjaaja,veistonohjaaja,,,,,0,
venerakentaja,boat builder,,,,,6,
vesiasemanhoitaja,water station attendants,,,,,1,
viimeistelyä,the finalization,,,,,,
virastoapulainen,Office assistant,,,,5,1,
vulkanoija,vulcaniser,,,,,,
vuorottaja,relief,,,,,,
apulaisprofessori,reader,,,,,0,
tehtaanjohtaja,factory Manager,,,,3,1,
tuomari,judge,,,1,2,0,
huvilanomistaja,the villa owner,,,,,,
kauppalaivuri,kauppalaivuri,,,,,5,
koulutuspäällikkö,Training,,,,,1,
lasimestari,glass-worker,,,,,6,
provisori,Provisor,,,,,0,
sosiaalijohtaja,Social Director,,,,,1,
suunnittelupäällikkö,Planning Manager,,,,,0,
yliopettaja,Principal Lecturer,,,,,0,
yliperämies,first officer,,,,,5,
autonmyyjä,car salesman,,,,,2,
baarimestari,bartender,,,,,8,
erikoissairaanhoitaja,specially trained nurse,,,,,0,
ilmoituspäällikkö,ad Manager,,,,,1,
kalastusmestari,fishing champion,,,,,3,
kampaajamestari,hairdresser champion,,,,,8,
kassa,cash,,,,,2,
kaupanhoitaja,marketing manager,,,,,2,
kaupungin työntekijä,city ​​employee,,,,,,
kemigrafi,kemigrafi,,,,,,
kiinteistönvälittäjä,real estate agent,,,,,2,
kirjastovirkailija,library assistant,,,,,0,
korjaamon esimies,workshop manager,,,,,6,
lääkintävahtimestari,orderly,,,,,0,
lastenohjaaja,director of children,,,,,0,
liikenteenharjoittaja,carrier,,,,,2,
luutnantti,lieutenant,,,,,8,
"maanvilj,","maanvilj,",,,,,3,
maataloustyönjohtaja,agricultural foreman,,,,,3,
majakanvartija,lighthouse keeper,,,,,8,
majakkamestari,lighthouse champion,,,,,8,
meijeristi,dairyman,1,,,,6,
merivartija,coastguard,,,,,8,
mies,man,,,,,,
moottorimies,motor man,,,,,5,
pääluottamusmies,Chief Shop Steward,,,,,,
pakkamestari,packager champion,,,,,,
paperiteknikko,paper technician,,,,,6,
piirisihteeri,district secretary,,,,,1,
postinkuljettaja,mail driver,,,,,8,
psykologi,psychologist,,,1,,0,
puhelinkeskuksen hoitaja,telephone switchboard operator,,,,,1,
puutarhateknikko,in horticulture,,,,,3,
radioasentaja,radio technician,,,,,6,
rajakersantti,Sergeant limit,,,,,8,
sahan asettaja,saw setter,,,,,6,
seminologi,Artificial Insemination,,,,,3,
sosiaalityöntekijä,social worker,,,1,,0,
värjäri,dyer,,,0,,6,
askartelunohjaaja,craft instructor,,,,,0,
huonekalumyyjä,furniture seller,,,0,,2,
kaivostyöläinen,miner,,,0,,4,
kirjapainotyöntekijä,printing plant worker,,,0,,6,
koneurakoitsija,Contractor machinery,,,0,,6,
matruusi,seaman,,,0,,5,
palovartija,fire guard,,,0,,8,
sairaalatyöntekijä,hospital worker,,,0,,0,
taksinkuljettaja,taxi driver,,,0,,5,
tilallisen tytär,daughter of spatial,,,,,3,
toimistotyöntekijä,office worker,,,,,1,
ahtausurakoitsija,stevedoring contractor,,,,,5,
aliupseeri,non-commissioned officer,,,,,8,
aluemyyntipäällikkö,Area Sales Manager,,,,,2,
alueteknikko,area Technician,,,,,,
aluetoimittaja,regional reporter,,,,,,
amanuenssi,assistant,,,,,0,
ammattientarkastaja,professions inspector,,,,,,
anniskelija,anniskelija,,,,,,
apuemäntä,apuemäntä,,,,,8,
apuiainen,apuiainen,,,,,8,
apukeittäjä,apukeittäjä,,,,,8,
äpulainen,helper,,,0,,8,
apulaisemäntä,apulaisemäntä,,,,,8,
apulaiskirjaaja,Deputy,,,,,1,
apulaisosastopäällikkö,Deputy Director General,,,,,1,
apulaisrehtori,Assistant Principal,,,,,1,
apulaistyömestari,apulaistyömestari,,,,,,
apulaistyönjohtaja,apulaistyönjohtaja,,,,,1,
apulämmittäjä,apulämmittäjä,,,,,6,
aputyöl,aputyöl,,,,,6,
asemamestari yp,Station master yp,,,,,5,
asemestari,armourer,,,,,5,
aseteknikko evp,aseteknikko ret,,,,,6,
asfalttimies,asphalt man,,,,,6,
asfalttityömies,asphalt worker,,,,,6,
asfalttityöntekijä,asphalt worker,,,,,6,
autoaseman hoitaja,station attendant,,,,,5,
autonasentmaanviljelijä,autonasentmaanviljelijä,,,,,3,
autonkulettaja,autonkulettaja,,,,,5,
autonkuliettaja,autonkuliettaja,,,,,5,
baarin emäntä,bar hostess,,,,,8,
betonimylläri,concrete miller,,,,,6,
dinsinööri,dinsinööri,,,,,0,
eläkeasiainneuvoja,pension advice Affairs,,,,,0,
elintarviketyöl,elintarviketyöl,,,,,6,
elokuvakoneen hoitaja,film machine operator,,,,,8,
erikoismestari evp,Special master ret,,,,,8,
esikehrääjä,esikehrääjä,,,,,6,
esmies,esmies,,,,,,
etutyöntekijä,etutyöntekijä,,,,,,
expeditööri,1,,,,,1,
fikseeraja,fikseeraja,,,,,,
fil.lis,Ph.L.,,,,,0,
fil.toht,fil.toht,,,,,0,
fil.tri,Ph.D.,,,1,,0,
fiLmaisteri,fiLmaisteri,,,,,0,
filosofian lisensiaatti,Licentiate of Philosophy,,,,,0,
graafikko,graphic Designer,,,,,0,
haalaaja,"slinger,",,,,,6,
haalausmies,haalausmies,,,,,6,
haastattelija,interviewer,,,,,,
haihduttaja,Evaporator,,,,,6,
hakkumies,hakkumies,,,,,6,
Hamrouva,Hamrouva,,,,,,
hattutyöntekijä,hat worker,,,,,6,
hautausmaanhoitaja,cemetery attendant,,,,,8,
Helsinki,Helsinki,,,,,,
henkilökunnan päällikkö,chief of staff,,,,,1,
hinaajan päällikkö,Head of the tugboat,,,,,5,
hissiasentaja,elevator installer,,,,,6,
hopeankiillottaja,hopeankiillottaja,,,,,6,
hopeaseppä,silversmith,,,,,6,
huolintatyönjohtaja,freight forwarding supervisor,,,,,1,
huoltolatyöntekijä,huoltolatyöntekijä,,,,,8,
huoltomekaanikko,maintenance mechanic,,,,,6,
huoltosisar,maintenance sister,,,,,0,
huoltotyöntekijä,maintenance worker,,,,,6,
huonekalujen kiilloittaja,furniture kiilloittaja,,,,,6,
huonekalukiillottaja,huonekalukiillottaja,,,,,6,
ialkinemestari,ialkinemestari,,,,,6,
ikkunanpesijä,window cleaner,,,,,8,
il.maisteri,il.maisteri,,,,,0,
inventoija,inventoija,,,,,8,
itsen.yrittäjä,itsen.yrittäjä,,,,,2,
itsenäinen yrittäjä,Independent Contractor,,,,,2,
ja metsätieteiden kand,Science and Forestry Bachelor of Science,,,1,,3,
ja metsätyömies,and forestry laborer,,,,,3,
ja myyntipäällikkö,and Sales Manager,,,,,2,
jalkinekorjaaja,shoe repairman,,,,,6,
jaostosihteeri,Chamber Secretary,,,,,1,
jousiseppä,spring blacksmith,,,,,6,
jousittaja,jousittaja,,,,,6,
kaavapiirtäjä,formula artist,,,,,6,
Kaemäntä,Kaemäntä,,,,,,
kahvilan omistaja,the café owner,,,,2,2,
kaivinkoneenkäyttäjä,excavator operator,,,0,,5,
kaivontekijä,well by,,,,,6,
kaivostyömies,mining laborer,,,0,,4,
kalanterinhoitaja,kalanterinhoitaja,,,,,,
kalastajan vaimo,a fisherman's wife,,,0,,3,
kanavanhoitaja,channel manager,,,,,5,
kankaiden tarkastaja,fabrics inspector,,,,,6,
kansakouluntarkastaja,elementary school inspector,,,,,1,
kansalaisopiston rehtori,Rector of the community college,,,1,,1,
kansliapäällikkö,undersecretary,,,,,1,
kansliasihteeri,The Office of the Secretary,,,,,1,
Karoleski,Karoleski,,,,,,
karta n piirtäjä,depart from the drawer,,,,,0,
kartografi,cartographer,,,,,0,
käsihioja,käsihioja,,,,,6,
käsinlatoja,käsinlatoja,,,,,6,
katkaisija,circuit breaker,,,,,6,
katsastusteknikko,motor vehicle roadworthiness,,,,,6,
kattolevyntekijä,roof plate element,,,,,6,
kaupallinen johtaja,commercial Director,,,,,2,
kauppmaanviljelijä,kauppmaanviljelijä,,,,,3,
kehäsahaaja,kehäsahaaja,,,,,6,
kelaaja,rewinder,,,,,6,
kelloseppämestari,"master watchmaker,",,,,,6,
kenraalimajuri,major general,,,,,8,
kenttämies,field man,,,,,3,
kerhoemäntä,club hostess,,,,,8,
kerhonhoitaja,club manager,,,,,8,
kihartaja,kihartaja,,,,,6,
kiinteistötyöntekijä,real estate employee,,,,,8,
kipsilevytyömies,drywall laborer,,,,,6,
kirjakaupan hoitaja,bookstore manager,,,,,2,
kirjatyöläinen,Paper worker,,,,,6,
kirvesmis,kirvesmis,,,,,6,
kiviporaaja,kiviporaaja,,,,,6,
kivityöläinen,stone worker,,,,,6,
kivityöm,kivityöm,,,,,6,
koestaja,koestaja,,,,,6,
kojeoptikko,kojeoptikko,,,,,6,
kojiteollisuusopettaja,kojiteollisuusopettaja,,,,,0,
komisaario,komisaario,,,,,8,
kompressorinhoitaja,compressor manager,,,,,6,
koneenhoitajan apulainen,machine operator helper,,,,,6,
konekaivertaja,konekaivertaja,,,,,6,
konenainen,machine woman,,,,,,
koneprässääjä,koneprässääjä,,,,,6,
konesilittäjä,konesilittäjä,,,,,6,
konsuli,consul,,,,,1,
konttorisiivooja,office cleaner,,,,,8,
kopisti,is knocked,,,,,,
korintekijä,korintekijä,,,,,,
koristelija,decorator,,,,,6,
korjaaja,repairman,,,,,6,
korjaamon johtaja,workshop leader,,,,,6,
korsettiompelija,korsettiompelija,,,,,6,
koti avustaja,home help,,,,,8,
kotiompelija,home seamstress,,,,,6,
kotitaloustyöntekijä,household worker,,,,,8,
koulunsiivooja,school cleaning lady,,,,,8,
kudonnanneuvoja,kudonnanneuvoja,,,,,6,
kuivauskoneenhoitaja,drying machine operator,,,,,6,
kuljettaja,driver,,,,,5,
kuljetustyöntekijä,transport worker,,,,,5,
kultaseppämestari,master goldsmith,,,,,6,
Kunnalliskodin emäntä,municipal home hostess,,,,,8,
kunnallissihteeri,municipal secretary,,,,,1,
kunnankirjuri,kunnankirjuri,,,,,1,
kunnanlääkäri,medical officer,,,,,0,
kunnossapitotyömies,maintenance laborer,,,0,,6,
kunnossapitotyöntekijä,maintenance worker,,,0,,6,
kursooja,kursooja,,,,,,
kutomotyöntekijä,kutomotyöntekijä,,,,,6,
kuvaamataidon lehtori,arts lecturer,,,1,,,
kynttilänvalaja,candle makers,,,,,6,
kytkijä,linker,,,,,6,
lääja kir.tohtori,A wide kir.tohtori,,,,,0,
lääketieteenlisensiaatti,Licentiate of medicine,,,1,,0,
lääkJis,lääkJis,,,,,0,
läänin rakennusmestari,the county builder,,,,,1,
laatikkotyöntekijä,box employee,,,,,6,
laatikontekijä,the box by,,,,,6,
laattatyöntekijä,tile worker,,,0,,6,
lähettämön esimies,the dispatch supervisor,,,,,6,
lähettämönhoitaja,lähettämönhoitaja,,,,,6,
lainopin kandidaatti,his Master of Laws,,,,,0,
laitostyöntekijä,Institute an employee,,,,,6,
laivakirvesmies,ship Carpenter,,,0,,6,
laivanpäällikkö,the ship's master,,,,,5,
lakaisija,sweeper,,,0,,8,
lakkaaja,lakkaaja,,,,,6,
langantarkastaja,yarn inspector,,,,,6,
lasikonemies,glass machine man,,,0,,6,
laskujen tarkastaja,invoices inspector,,,,,1,
lastentarhan johtajatar,kindergarten headmistress,,,1,,1,
laulunopettaja,singing teacher,,,,,0,
lautatarhanhoitaja,timber yard manager,,,0,,6,
lavamies,lava man,,,,,6,
lehtfil.maist,lehtfil.maist,,,,,0,
lehtfil.maisteri,lehtfil.maisteri,,,,,0,
leikkaamoapulainen,leikkaamoapulainen,,,,,6,
leikkikoulunopettaja,playschool teacher,,,1,,0,
leimaaja,leimaaja,,,,,6,
leivänlaskija,bread counter,,,,,6,
lennonjohtaja,air traffic controller,,,1,,5,
lentoemäntä,stewardess,,,0,,5,
lentomestari,flight master,,,,,5,
liikennejohtaja,traffic Director,,,,,1,
liikevaihtoverotarkastaja,turnover tax inspector,,,,,1,
liikkeenharjoitaja,liikkeenharjoitaja,,,,,2,
liikuntateknikko,sports Technician,,,,,0,
liimamies,glue man,,,0,,6,
liimankeittäjä,adhesive cook,,,0,,6,
linja autonkuljettaja,bus driver,,,0,,5,
linjakirjuri,linjakirjuri,,,,,,
linjatarkastaja,line inspector,,,,,,
listoittaja,listoittaja,,,,,6,
lnkeroirouva,lnkeroirouva,,,,,,
lovyseppä,lovyseppä,,,,,6,
"maanv., kansanedustaja","maanv., MP",,,,,3,
maanviljelagrologi,maanviljelagrologi,,,,,3,
maanviljelliikemies,maanviljelliikemies,,,,,3,
maanviljelmuusikko,maanviljelmuusikko,,,,,3,
maanviljelmyyntiedustaja,maanviljelmyyntiedustaja,,,,,2,
maanviljelpuuseppä,maanviljelpuuseppä,,,,,3,
maanviljelpuutarhuri,maanviljelpuutarhuri,,,,,3,
maanvitj,maanvitj,,,,,3,
maanvllj,maanvllj,,,,,3,
maanvtytär,maanvtytär,,,,,,
maidontarkastaja,milk inspector,,,,,6,
mainosmies,adman,,,,,2,
mainostaiteilija,advertising artist,,,,,0,
maitolanhoitaja,maitolanhoitaja,,,,,6,
majakkavartija,lighthouse guard,,,,,8,
"majuri evp., opettaja","Major ret., teacher",,,1,,8,
mallastaja,brewer,,,,,6,
mallintekijä,model maker,,,,,6,
mäntyöljyn keittäjä,tall oil cook,,,,,6,
markkinointineuvoja,marketing advice,,,,,2,
matematiikan lehtori,mathematics lecturer,,,1,,0,
matematiikan opettaja,mathematics teacher,,,1,,0,
mattoasentaja,carpet installer,,,,,6,
meanviljelijä,meanviljelijä,,,,,3,
metallileikkaaja,metal cutting machine,,,,,6,
metalliporaaja,metalliporaaja,,,,,6,
metallisulattaja,metallisulattaja,,,,,6,
metsäharj,metsäharj,,,,,3,
metsämies,hunter,,,,,3,
metsäpäällikkö,Head of forestry,,,,,3,
metsäpiiriesimies,forest district manager,,,,,3,
mikroskopisti,Microscopy,,,,,0,
miksarinhoitaja,miksarinhoitaja,,,,,6,
moottorinkuljettaja,engine driver,,,,,5,
myllyasentaja,mill installer,,,,,6,
myllyn omistaja,mill owner,,,,,2,
myllynhoitaja,mill manager,,,,,6,
myymäläautonhoitaja,car shop attendant,,,,,2,
myymälänhoit,myymälänhoit,,,,,2,
myynninjohtaja,sales director,,,,,2,
n työntekijä,employee,,,,,,
nahkaplastikko,nahkaplastikko,,,,,6,
noppaaja,noppaaja,,,,,6,
nostomies,lifting man,,,,,8,
nosturin kuljettaja,crane operator,,,,,5,
nosturinkäyttäjä,crane operator,,,,,5,
nuorisosihteeri,nuorisosihteeri,,,,,0,
"o,Korouva","No, Korouva",,,,,,
"o,Koskelairouva","No, Koskelairouva",,,,,,
"o,Martikairouva","No, Martikairouva",,,,,,
"o,Matiemäntä","No, Matiemäntä",,,,,,
"o,Purouva","No, Purouva",,,,,,
"o,Reirouva","No, Reirouva",,,,,,
"o,Saemäntä","No, Saemäntä",,,,,,
"o,Savolairouva","No, Savolairouva",,,,,,
"o,Viinarouva","No, Liquor Mrs.",,,,,,
offsetapulainen,offset assistant,,,,,6,
ohjaamonhoitaja,cabin attendant,,,,,6,
oikaisija,straightener,,,,,6,
oikeustieteen kandidaatti,LL.M.,,,,,0,
oikoja,Orthodontist,,,1,,,
oläkeläinen,oläkeläinen,,,,,,
ompeluopettaja,sewing teacher,,,,,0,
oopperalaulajatar,opera singer,,,,,0,
opastinasentaja,opastinasentaja,,,,,6,
opastintyöntekijä,opastintyöntekijä,,,,,6,
operatööri,operatööri,,,,,6,
oppikoulunopettaja,secondary school teacher,,,,,0,
osapäiväapulainen,osapäiväapulainen,,,,,8,
ostopäälliagrologi,ostopäälliagrologi,,,,,3,
pääsihteeri,secretary-general,,,,,1,
paketoija,paketoija,,,,,6,
palkkakonttorin esimies,the pay office supervisor,,,,,1,
palokalustonhoitaja,fire equipment manager,,,,,8,
palomestari evp,retired fire chief,,,,,8,
paperikoneen hoitaja,paper machine attendant,,,,,6,
paperileikkaaja,paper cutter,,,,,6,
paperin lajittelija,paper sorter,,,,,6,
paperinlajittelija,the paper sorter,,,,,6,
paperityontekijä,paperityontekijä,,,,,6,
pianonsoiton opettaja,The Piano teacher,,,,,0,
piirroittaja,piirroittaja,,,,,6,
pinomies,a stack of a man,,,,,6,
pintakäsittelyä,surface treatment,,,0,,6,
poliisikonstaapeli evp,Retired police officer,,,0,,8,
poliisimestari,chief of police,,,,,8,
poliisitarkastaja,Police Inspector,,,0,,8,
Pori,Pori,,,,,,
postiauton kuljettaja,mail car driver,,,0,,5,
postitoimiston hoitaja,post office manager,,,0,,1,
postitoimistonhoitaja,post office manager,,,0,,1,
puh.asentaja,puh.asentaja,,,,,6,
puhelinapulainen,phone assistant,,,0,,6,
puhelinaseman hoitaja,telephone station attendant,,,0,,1,
puhelinkeskuksenhoitaja,telephone switchboard operator,,,0,,1,
puhelinmekaanikko,telephone mechanic,,,0,,6,
puutarhanhoitaja,the garden manager,,,0,,3,
puutavarahankkija,timber buyer,,,,,2,
puutavaran mittaaja,timber measurer,,,0,,6,
puutavaran vastaanottaja,the recipient timber,,,,,6,
puutyöläinen,puutyöläinen,,,,,6,
puuutarhuri,puuutarhuri,,,,,3,
puvustonhoitaja,wardrobe master,,,0,,8,
pysäkinhoitaja,stops attendant,,,0,,5,
rak.työl,rak.työl,,,,,6,
rakennusmaalari,building painter,,,0,,6,
rakennustarkastaja,building inspector,,,0,,6,
rakennusteknikko,construction technician,,,0,,6,
rakennustyö m ies,m yoke construction,,,,,6,
rakennustyöni,construction job,,,0,,6,
rakennustyöni ies,building my yoke,,,,,6,
rautamyyjä,ferrous seller,,,,,2,
rautaosaston hoitaja,iron head nurse,,,,,,
rautatietyömies,railway laborer,,,,,5,
ravintolakassa,restaurant cashier,,,,,2,
ravintolan hoitaja,restaurant manager,,,,,8,
rnaanvilj,farmer,1,,,,3,
rottinkityöntekijä,rottinkityöntekijä,,,,,6,
rouvä,housewife,,,,,,
rouvo,housewife,,,,,,
rpaanviljelijä,rpaanviljelijä,,,,,3,
ruokala apulainen,canteen helper,,,,,8,
ruokalan kassa,canteen cash,,,,,2,
ruokalatyöntekijä,emplyee,,,,,8,
sääteknikko,sääteknikko,,,,,6,
sahan isännöitsijä,sawmill superintendent,,,,,1,
sahantyöntekijä,sawmill worker,,,,,6,
sähkö asentaja,electrical fitter,,,,,6,
sähköhitsaaja,sähköhitsaaja,,,,,6,
sähköpäivystäjä,electricity duty officer,,,,,6,
sähkötarkastaja,electrical inspector,,,,,0,
säilyketyöläinen,canned worker,,,,,6,
sairaalaapulainen,hospital assistant,,,0,,0,
sairaalaemäntä,hospital hostess,,,,,,
sairaanhoitajaopettaja,nurse teacher,,,1,,0,
sanomalehdentoimittaja,a newspaper reporter,,,,,0,
satamamies,port of man,,,,,5,
satamatyönjohtaja,harbor foreman,,,,,5,
satamavalvoja,port administrator,,,,,5,
savustaja,smokers,,,,,6,
sementinpolttaja,cement burner,,,0,,6,
sementtimles,sementtimles,,,,,6,
seurakuntatyöntekijä,church employee,,,0,,0,
siivoja,cleaning lady,,,0,,8,
silinterimies,silinterimies,,,,,,
sillanhoitaja,bridge attendant,,,0,,8,
sinkitsijä,sinkitsijä,,,,,6,
sirkkelisahaaja,sirkkelisahaaja,,,,,6,
sisustaja,decorator,,,,,0,
smirklaaja,smirklaaja,,,,,,
sotilaskodin johtaja,military leader home,,,,,1,
sotilasmestari ovp,sergeant major OVP,,,,,8,
sotilasteknikko evp,military engineer ret,,,1,,8,
sukeltajan merkinantaja,diver signalman,,,0,,8,
suksiseppä,ski smith,,,0,,6,
sulkumestari,the master shut-off,,,,,5,
syväporari,syväporari,,,,,6,
tallimestari,equerry,,,,,3,
taloustyöläinen,economic worker,,,1,,2,
Tampere,Tampere,,,,,,
tasoitemies,tasoitemies,,,,,6,
tavaranmerkitsijä,tavaranmerkitsijä,,,,,6,
tavarantarkastaja,goods inspector,,,,,1,
tehdastvöntekijä,tehdastvöntekijä,,,,,6,
teht.työmies,teht.työmies,,,,,6,
tehtaantyöläinon,tehtaantyöläinon,,,,,6,
tekstiilityöläinen,textile worker,,,0,,6,
telakkamies,shipyard man,,,0,,5,
terottaja,terottaja,,,,,6,
tiedotussihteeri,information Secretary,,,,,0,
tiemies,tiemies,,,,,6,
tiivistäjä,compacting,,,,,6,
tilitoimiston omistaja,accounting firm owner,,,1,2,1,
toim.joht,toim.joht,,,,,1,
toim.johtaja,toim.johtaja,,,,,1,
toimisto apulainen,office boy,,,,,1,
toimistoapul,toimistoapul,,,,,1,
toimiston esimies,Office manager,,,,,1,
torimyyjä,stallholder,,,,,2,
traktori n kuljettaja,The tractor driver,,,,,5,
ttyöläinen,ttyöläinen,,,,,6,
tukkityöläinen,log worker,,,,,3,
tulkki,interpreter,,,,,0,
tullinhoitaja,the duty nurse,,,1,,1,
turkiskonettaja,turkiskonettaja,,,,,6,
turkistarhaaja,Fur Farmer,,,,,3,
työkaluhioja,työkaluhioja,,,,,6,
työkaluvarastonhoitaja,tool warehouse manager,,,0,,6,
työkasööri,työkasööri,,,,,2,
työl,employment,,,,,6,
työnjakaja,the work dispatcher,,,,,0,
työnjärjestäjä,labor organizer,,,1,,0,
työnjohtmaanviljelijä,työnjohtmaanviljelijä,,,,,3,
työsuunnittelija,a planner,,,1,,1,
työsuunnittelua,Work planning,,,,,1,
uittomies,floating man,,,,,3,
ulkomaankirjeenvaihtaja,a foreign correspondent,,,1,,0,
upseerikerhon emäntä,the officer club hostess,,,,,8,
urakkahinnoittaja,urakkahinnoittaja,,,,,1,
urheilukentänhoitaja,groundsman,,,,,8,
uskonnonopettaja,religious teacher,,,1,,0,
uunintekijä,oven factor,,,,,6,
vaakitsija,vaakitsija,,,,,6,
vaatttyönjohtaja,vaatttyönjohtaja,,,,,1,
vahtimies,watchman,,,,,6,
vaihdetyömies,shift worker,,,,,5,
vaihekokooja,vaihekokooja,,,,,6,
vaihteenkorjaaja,gear repairman,,,,,6,
välinehuoltaja,tool guardian,,,,,6,
välittäjä,appellant,,,,,,
valokuvaamoapulainen,valokuvaamoapulainen,,,,,0,
valssimies,waltz man,,,,,6,
vaneriteknikko,plywood technician,,,,,6,
vanhempi myyjä,senior seller,,,,,2,
vankilalähetti,prison sent,,,,,8,
vankilanjohtaja,warden,,,,,1,
vänrikki evp,Second Lieutenant ret,,,,,8,
varastokirjuri,varastokirjuri,,,,,1,
varaston esimies,warehouse supervisor,,,,,6,
varatuomasianajaja,Vice pig brought on by driver,,,,,0,
varavankilanjohtaja,Deputy Prison Director,,,,,0,
värimies,color man,,,,,6,
varjostinompelija,varjostinompelija,,,,,6,
vartiotarkastaja,guard inspector,,,,,0,
veneenveistäjä,boatbuilder,,,,,6,
veneveistäjä,boat builders,,,,,6,
verhoiluompelija,upholstery seamstress,,,,,6,
verkontekijä,network element,,,,,6,
verstasmies,workshop man,,,,,6,
vesilaitoksenhoitaja,the water utility manager,,,,,1,
vihannesviljelijä,vegetable farmer,,,,,3,
viiiaaja,viiiaaja,,,,,6,
viilunleikkaaja,viilunleikkaaja,,,,,6,
vinssimies,vinssimies,,,,,6,
virittäjä,tuner,,,0,,,
voimalaitostyöntekijä,power plant worker,,,0,,6,
voimistelun lehtori,gymnastics lecturer,,,1,,0,
vpoliisikonstaapeli,vpoliisikonstaapeli,,,,,8,
ylikersantti maanviljelijä,Staff Sergeant farmer,,,0,,3,
ylirajajääkäri evp,ylirajajääkäri ret,,,,,8,
ylivaäpeli,master sergeant,,,,,8,
yo.merkonomi,yo.merkonomi,,,,,0,
filosofian tohtori,doctor of Philosophy,,,1,,0,
