professionName,professionEnglishName,agricultureOrForestryRelated,manualLabor,education,SESgroup1989,occupationCategory,socialClassRank
kotitalousteknikko,household technician,0,0,0,5,6,4
puhelinmestari,telephone repairmen,0,0,0,5,8,4
rehtori,principal,0,0,1,3,0,1
leipoja,baker,0,0,0,5,6,4
merikapteeni,sea ​​captain,0,0,,3,5,1
kotiavustaja,home assistant,0,0,,5,8,6
kotirouva,housewife,0,0,0,,,
leipomotyöntekijä,bakery employee,0,0,0,5,6,6
vaununtarkastaja,wagon inspector,0,0,1,4,5,4
yliluutnantti evp,Lieutenant,0,0,1,,8,3
kaivosmies,miner,0,1,0,5,4,6
laitosapulainen,Department assistant,0,0,0,4,6,4
meijeriapulainen,dairy helper,1,1,0,5,6,4
muusikko,musician,0,0,,,0,2
toimistonhoitaja,Office manager,0,0,1,3,1,2
kylmäkkö,Pastry chef,0,0,0,5,8,4
tehtaantyöntekijä,factory worker,0,1,0,5,6,6
traktorinkuljettaja,tractor driver,0,0,0,5,5,6
kirjansitoja,bookbinder,0,0,0,5,6,4
kultaseppä,goldsmith,0,1,0,5,6,4
paperityöntekijä,paper worker,0,0,0,5,6,5
betonityömies,concrete laborer,0,1,0,5,6,6
poraaja,driller,0,1,0,5,6,5
prässääjä,metal worker,0,1,0,5,6,6
ylikersantti evp,Staff Sergeant retired,0,0,,,8,3
pankinjohtaja,bank manager,0,0,1,3,1,2
majuri evp,Major ret,0,0,1,,8,3
laivuri,shipmaster,0,0,,,5,2
kuormausmestari,loader of railawy cars,0,1,0,5,5,7
laborantti,Laboratory,0,0,,3,0,2
valokuvaaja,photographer,0,0,,4,0,3
maatyömies,odd jobs in the countryside,,0,0,5,3,7
nuohooja,chimney sweep,0,1,0,5,8,7
puutarhatyöntekijä,garden worker,0,1,0,5,3,7
koneompelija,machine seamstress,0,0,0,5,6,6
puhelinvirkailija,telephone clerk,0,0,0,4,1,6
dipl.ins,Engineer with MSc,0,0,1,3,0,2
liikennöitsijä,operator,0,0,0,5,5,6
talousopettaja,economic teacher,0,0,1,3,0,2
toimittaja,supplier,0,0,0,4,0,4
vanginvartija,jailer,0,0,0,4,8,5
betonimies,Concrete layer,0,1,0,5,4,6
mittamies,measurer,0,0,0,5,6,6
postimies,the postman,0,0,0,4,8,4
leipomotyöläinen,bakery worker,0,0,0,5,6,4
torikauppias,market vendor,0,0,0,4,2,4
osastoapulainen,assistant in hospital,0,0,0,4,1,5
konemies,machinist,0,1,0,5,6,5
metallimies,metal worker,0,1,0,5,6,5
piirtäjä,draftsman,0,0,,5,0,4
kehrääjä,spinner,0,0,0,5,6,5
lähettäjä,dispatcher,0,0,,4,6,5
lehdenjakaja,paperboy,0,0,0,4,8,5
luutnantti evp,Lieutenant ret,0,0,1,,8,4
asettaja,installer,0,0,0,5,6,5
hammaslääkäri,dentist,0,0,1,3,0,1
mekaanikko,mechanic,0,0,0,5,6,5
aputyömies,installs something,0,0,0,5,6,6
hevosmies,Trains racehorses,1,0,,8,8,3
portinvartija,gatekeeper,0,0,0,4,8,6
piiritarkastaja,district auditor,0,0,1,3,1,2
isännöitsijä,building superintendent,0,0,0,4,2,4
putkimies,plumber,0,1,0,5,6,4
diakonissa,deaconess,0,0,,3,0,3
konttoriapulainen,office assistant,0,0,0,4,1,5
sahuri,Cuts wood at sawmill,0,1,0,5,6,6
tehdastyöntekijä,factory worker,0,1,0,5,6,6
vakuutusvirkailija,insurance clerk,0,0,,4,1,4
postimiesten esimies,mail men supervisor,0,0,,3,1,3
rahastaja,conductor,0,0,,4,5,3
sahatyöläinen,sawmill worker,0,1,0,5,6,5
sekatyöläinen,Joint worker,0,1,0,5,6,5
sementtityömies,cement laborer,0,1,0,5,6,6
postinhoitaja,postmaster,0,0,,3,1,2
kirjaaja,registrar (handles records),0,0,,4,1,3
postittaja,mailer,0,0,,4,6,4
puutarhatyöläinen,garden worker,0,1,0,5,3,7
faktori,press house worker,0,0,0,5,6,4
rakennusurakoitsija,builder and contractor,0,0,1,3,6,2
jyrsijä,lathe operator,0,1,0,5,6,5
varastopäällikkö,warehouse Manager,0,0,0,4,5,3
kartoittaja,surveyer (map maker),0,0,1,4,0,2
baariapulainen,barman,0,0,0,5,8,5
kaivinkoneenkuljettaja,excavator driver,0,0,0,5,5,5
metallisorvaaja,Metal worker,0,1,0,5,6,6
työnvalvoja,supervisor,0,0,1,4,1,2
dipl.insinööri,supervisor,0,0,1,3,1,2
rovasti,dean (vicar who has served for a long time and is highly respected by peers),0,0,1,3,1,1
pursimies,boatswain,0,0,0,5,5,3
sihteeri,secretary,0,0,0,4,1,5
kirkkoherra,vicar,0,0,1,3,0,2
liikkeenhoitaja,manager,0,0,,3,2,2
konttorinhoitaja,postmaster,0,0,0,3,1,4
fil.maisteri,MSc in non technical field,0,0,1,3,0,3
paperityömies,paper workman,0,0,0,5,6,6
sahaaja,Saws in sawmill,0,1,0,5,5,6
satamatyömies,port laborer,0,1,0,5,5,6
tehtaan työntekijä,factory worker,0,1,0,5,6,6
apulaisjohtaja,deputy Director,0,0,1,3,1,1
majuri,major,0,0,1,3,8,2
luotsi,maritime pilot,0,0,1,3,5,2
rautatiekirjuri,rail clerk,0,0,0,4,0,4
tukkumyyjä,distributor,0,0,0,4,2,4
autonapumies,car helper,0,0,0,5,5,6
leipomoapulainen,bakery assistant,0,0,0,5,6,7
rullaaja,rullaaja ??,,,,,6,
muovipuristaja,molds plastic by punch method,0,1,0,5,6,
myymäläapulainen,shop assistant,0,0,0,4,2,6
viestittäjä,communicator,0,0,,4,0,4
kanttori,church musician,0,0,0,,0,3
keskuksenhoitaja,switchboard operator,0,0,0,4,1,5
viilari,filer,0,0,0,4,6,6
järjestelymestari,train traffic organizer,0,0,0,,,3
varastomestari,Military supplier,0,0,0,3,5,3
kotitalousneuvoja,household advice,0,0,0,,0,3
sulattaja,melter,0,1,0,5,6,6
toiminnanjohtaja,Executive Director,0,0,1,3,1,1
verovalmistelija,tax assessment clerk,0,0,,,1,2
filosofian maisteri,Master of Arts,0,0,1,,0,2
ravintolan emäntä,Head of a kitchen in a restaurant,0,0,0,5,8,4
ruokalan emäntä,Head of kitchen in cafeteria,0,0,0,5,8,4
sairaala apulainen,hospital assistant,0,0,0,4,0,6
toimistopäällikkö,office manager,0,0,,3,1,3
ylityönjohtaja,higher tier foreman/personal manager,0,0,0,,1,2
piiriesimies,Regional manager,0,0,0,3,1,2
taidemaalari,painter,0,0,0,,0,4
leski,widow,0,0,,,,
tarkastuskarjakko,"Educated to keep track of diet, condition, milk production etc. in animal husbandry",1,0,1,3,3,3
ratatyöntekijä,Railway worker (track laying and repairs),0,0,0,5,5,6
rautatievirkamies,railway official,0,0,0,,5,3
kotitalousopettaja,Home Economics teacher,0,0,1,3,0,2
prokuristi,signing clerk,0,0,0,,2,4
kapteeni,captain,0,0,1,,5,2
kartanpiirtäjä,cartographer,0,0,1,,0,1
tilanhoitaja,steward,0,0,0,4,3,2
tullivartija,guard duty,0,0,0,4,8,5
konekutoja,Textile industry factory worker,0,1,0,5,6,6
palomies,fireman,0,0,0,4,8,4
taiteilija,artist,0,0,,,0,3
kylvettäjä,bather,0,0,0,5,8,5
laboratorioapulainen,laboratory assistant,0,0,,4,0,4
parsija,darner,0,0,0,5,6,5
pesijä,cleaner,0,0,0,5,6,7
sukeltaja,diver,0,0,0,,,4
alikonemestari,machine operator but entry level,0,1,0,5,6,7
automyyjä,car dealer,0,0,0,4,2,4
hovimestari,butler,0,0,0,5,8,6
kirjakauppias,bookseller,0,0,,4,2,3
konsulentti,consultant,0,0,1,3,0,3
libristi,bookstore assistant,0,0,0,4,2,4
vartiomies,sentry,0,0,0,4,8,4
autopeltiseppä,Auto tinsmith,0,1,0,5,6,5
kivenhakkaaja,stonemason,0,1,0,5,6,4
pesulatyöntekijä,laundry worker,0,0,0,5,8,7
saumaaja,sealer,0,1,,5,6,6
asemamestari,station master,0,0,,,5,4
baarinhoitaja,bar attendant,0,0,0,,8,6
sotilasteknikko,military engineer,0,0,1,3,8,2
everstiluutnantti,lieutenant colonel,0,0,1,,8,2
kamreeri,treasurer,0,0,1,3,1,2
moottoriasentaja,engine fitter,0,1,0,,6,5
rikosetsivä,detective,0,0,,3,8,3
kerroshoitaja,floor manager,0,0,0,4,8,3
ratatyöläinen,rail worker,0,1,0,5,5,6
vaihetyöntekijä,production line worker,0,1,0,5,6,6
apumies,odd-job man,0,1,0,5,6,7
autonpesijä,washing cars,0,1,0,5,8,7
kauppaedustaja,trade representative,0,0,,3,2,1
kirjeenkantaja,letter carrier,0,0,0,4,8,5
pesulanhoitaja,laundry attendant,0,0,0,4,8,7
postiasemanhoitaja,postal station attendant,0,0,0,4,1,6
sosiaalisihteeri,social services secretary,0,0,1,3,1,2
työnopettaja,the work of a teacher,0,0,1,3,6,2
kalakauppias,fishmonger,0,0,0,4,2,4
kondiittori,confectioner (pastry chef),0,0,,5,6,4
musiikinopettaja,music teacher,0,0,1,3,0,3
palopäällikkö,Fire Chief,0,0,0,3,8,3
sosionomi,of Social Services,0,0,,4,0,
terveystarkastaja,sanitary inspector,0,0,0,4,0,3
ylikersantti,staff sergeant,0,0,,,8,4
lastentarhanopettaja,a kindergarten teacher,0,0,1,3,0,3
poliisi,police,0,0,0,4,8,3
varastotyöntekijä,warehouse worker,0,1,0,5,5,5
kauppapuutarhuri,gardener,0,1,0,5,3,7
kauppateknikko,trade Technician,0,0,0,4,2,3
kiinteistövälittäjä,real estate agent,0,0,0,4,2,3
latoja,typesetter,0,0,0,4,6,5
liikennetarkastaja,traffic inspector,0,0,1,4,1,4
palokorpraali,Corporal fire,0,0,0,,8,3
porari,driller,0,1,0,5,6,5
raitiovaununkuljettaja,a tram driver,0,0,0,5,5,6
rakennustyöntekijä,construction worker,0,1,0,5,6,6
rappari,plasterer,0,1,0,5,6,5
särmääjä,a press brake,0,1,0,5,6,5
tuntikirjuri,tuntikirjuri ??,,,,,1,
turkisompelija,fur seamstress,0,0,0,5,6,5
työkaluviilaaja,tool maker,0,1,0,5,6,4
työntarkastaja,labor inspector,0,0,,3,0,3
ylipursimies,ylipursimies (something with the navy?),0,0,,3,8,2
arkkitehti,architect,0,0,1,3,0,1
tehtailija,manufacturer,0,,0,3,1,2
sahateknikko,sawmill technician,0,,0,4,6,3
toimistosihteeri,office secretary,0,,0,4,1,5
verovirkailija,tax clerk,0,0,0,4,1,3
automaalari,car painter,0,0,0,5,6,5
kotisisar,Domestic help (professional came from a program to educate young rural women. Education lasted 2 years!),0,0,1,5,0,3
sorvari,lathe operator,0,1,0,5,6,6
kirjailija,author,0,0,1,2,0,2
piiriedustaja,district representative,0,0,1,3,2,1
puutarhaviljelijä,horticulturist,,0,1,3,3,2
satamatyöläinen,longshoreman,0,1,0,5,5,5
tullipäällysmies,Customs officer (highest ranking in region?),0,0,1,3,8,1
vaatetustyöläinen,clothing worker,0,,0,5,1,6
ylimestari,"very ambiguous, in charge of something",,,,,0,4
ylitullivartija,Customs officer (higher ranking),,,,,1,2
apteekkari,pharmacist,0,0,1,4,0,2
kirjeenvaihtaja,"correspondent (works for newspaper or other media, can be foreign correspondent)",0,0,1,4,0,2
kuljetuspäällikkö,transport Manager,0,0,,3,5,3
ostopäällikkö,purchasing Manager,0,0,,3,2,3
sihtimies,strainer in pulp mill,0,1,0,5,6,7
tehtaanedustaja,factory representative,0,0,,3,2,3
turkkuri,Furrier (works in fur industry),0,0,0,4,4,4
yksityisyrittäjä,businesswoman,0,0,,2,2,2
ylivartija,watchman (security) upper (not entry) level hence the 'yli',0,0,,,8,3
koneenkäyttäjä,machinist,0,1,,5,6,5
lihanleikkaaja,meat cutter,0,1,,5,6,6
meijerikkö,dairymaid,1,0,0,5,6,7
räätäli,tailor,0,0,0,5,6,4
tiehöylänkuljettaja,grader operator,0,1,0,5,5,5
kirjatyöntekijä,book binder/printer,0,0,,3,6,4
