name,region,stemmedName,extractedName,latitude,longitude,addedByKaira
Alvettula,other,alvettul,Alvettula,61.20109,24.48617,
Alvola,other,alvol,Alvola,,,
Am,,am,Am,,,
Amalia,other,amal,Amalia,,,
Ambomaa,other,ambom,Ambomaa,,,
Amerikka,karelia,amerik,Amerikka,,,
Amerikassavv,other,amerikassav,Amerikassavv,,,
Äminnefors,other,äminnefors,Äminnefors,,,
Ämmäkoski,other,ämmäkosk,Ämmäkoski,,,
Ämmälä,other,ämmäl,Ämmälä,66.60205,27.63351,
Ämmänsaari,other,ämmänsaar,Ämmänsaari,64.88118,28.91069,
Ämmänsaarias,other,ämmänsaarias,Ämmänsaarias,,,
Ämmäsuonmäki,karelia,ämmäsuonmäk,Ämmäsuonmäki,,,
Ämmätsä,other,ämmäts,Ämmätsä,61.42145,24.83071,
Ampiala,karelia,ampial,Ampiala,,,
Amrea,karelia,amr,Amrea,,,
Amurf,other,amurf,Amurf,,,
Anni,other,an,An,,,
Anastasia,other,anastas,Anastasia,,,
Anbomaa,other,anbom,Anbomaa,,,
Anfrea,karelia,anfr,Anfrea,,,
Angelniemi,other,angelniem,Angelniemi,60.29769,22.89589,
Angelniemikk,other,angelniemik,Angelniemikk,,,
Angolniemi,other,angolniem,Angolniemi,,,
Anirea,karelia,anir,Anirea,,,
Anjaa,other,anj,Anjaa,,,
Anjala,karelia,anjal,Anjala,60.3,30.5,
Anjalakk,other,anjalak,Anjalakk,,,
Anjalakkf,other,anjalakkf,Anjalakkf,,,
Anjanpelto,other,anjanpelto,Anjanpelto,,,
Anjat vi,,anjat v,Anjat vi,,,
Ankea,karelia,ank,Ankea,,,
Änkilä,karelia,änkil,Änkilä,,,
Änkilänsalo,karelia,änkilänsalo,Änkilänsalo,,,
anlahti,other,anlaht,anlahti,,,
Anlrea,,anlr,Anlrea,,,
Anna-Liisa,other,anna-liis,Anna-Liisa,,,
Annäntehdas,karelia,annäntehdas,Annäntehdas,,,
Annila,other,annil,Annila,61.21168,24.01568,
Annilankartano,other,annilankartano,Annilankartano,,,
Anota,other,ano,Anota,,,
Anomiemi,karelia,anomiem,Anomiemi,,,
Antti,other,ant,Ant,,,
Ant tola,,ant tol,Ant tola,,,
Antero,other,antero,Antero,,,
AntFea,karelia,antf,AntFea,,,
Antiea,karelia,antiea,Antiea,,,
Antjärvi,,antjärv,Antjärvi,,,
Antlampi,karelia,antlamp,Antlampi,,,
Antton,other,anto,Antton,,,
äntö,other,äntö,äntö,,,
Antola,other,antol,Antola,,,
Antoniina,other,anton,Antoniina,,,
Antonja,other,antonj,Antonja,,,
Antrea,karelia,antr,Antrea,60.93333,29.16667,
Äntrea,karelia,äntr,Äntrea,,,
Antreassa,karelia,antrea,Antreassa,,,
Antreaas,karelia,antreaas,Antreaas,,,
Antreo,karelia,antreo,Antreo,,,
Antres,karelia,antres,Antres,,,
Äntres,karelia,äntres,Äntres,,,
Antroa,karelia,antro,Antroa,,,
Anttala,other,anttal,Anttala,,,
Anttanala,karelia,anttanal,Anttanala,,,
Anttija,other,anttij,Anttija,,,
Anttila,other,anttil,Anttila,,,
Anttilankylä,other,anttilankyl,Anttilankylä,,,
Anttoinen,other,anttoin,Anttoinen,,,
Anttola,other,anttol,Anttola,61.88652,29.07562,
Änttola,other,änttol,Änttola,,,
Anttolakk,karelia,anttolak,Anttolakk,,,
Anttosenmäki,other,anttosenmäk,Anttosenmäki,61.76446,29.86928,
Äotsä,,äots,Äotsä,,,
Aperla,karelia,aperl,Aperla,,,
Apul,other,apul,Apul,,,
Arantila,other,arantil,Arantila,61.36167,22.015,
Ararea,karelia,arar,Ararea,,,
Arenberg,other,arenberg,Arenberg,,,
Argangeli,karelia,argangel,Argangeli,,,
Argentiina,other,argent,Argentiina,,,
Aritrea,karelia,aritr,Aritrea,,,
arjokl,other,arjokl,arjokl,,,
Arkangeli,,arkangel,Arkangeli,,,
Ärkivaara,other,ärkivaar,Ärkivaara,,,
Arkjärvi,other,arkjärv,Arkjärvi,,,
Arkuntanhua,karelia,arkuntanhu,Arkuntanhua,60.66667,30.18333,
armaija,other,armaij,armaija,,,
Armas,other,armas,Armas,,,
Armasjärvi,other,armasjärv,Armasjärvi,,,
Armassaari,other,armassaar,Armassaari,66.25991,23.71661,
armeija,karelia,armeij,armeija,,,
armeijanpalv,other,armeijanpalv,armeijanpalv,,,
armeijantyössä,other,armeijantyö,armeijantyössä,,,
Arola,other,arol,Arola,60.43333,22.2,
Aromäenkylä,karelia,aromäenkyl,Aromäenkylä,,,
Aromäki,karelia,aromäk,Aromäki,61.35112,29.84299,
Arpela,other,arpel,Arpela,66.027,24.40369,
Arrakoski,other,arrakosk,Arrakoski,61.38471,25.18808,
Arsene,other,arsen,Arsene,,,
Art,,art,Art,,,
Arthur,other,arthur,Arthur,60.44736,22.24247,
artikarvaara,karelia,artikarvaar,artikarvaara,,,
Artjärvi,other,artjärv,Artjärvi,60.74544,26.07084,
Artjärvias,other,artjärvias,Artjärvias,,,
Artjärvikk,other,artjärvik,Artjärvikk,,,
Artola,,artol,Artola,,,
Artukainen,other,artukain,Artukainen,,,
Arvi,other,arv,Arvi,,,
ärvi,other,ärv,ärvi,,,
Arvajakylä,other,arvajakyl,Arvajakylä,,,
Arvo,other,arvo,Arvo,,,
ASAA,karelia,asa,ASAA,,,
Asemäki,other,asemäk,Asemäki,,,
asemaseutu,karelia,asemaseutu,asemaseutu,,,
Asiakkala,other,asiakkal,Asiakkala,,,
Asikka,other,asik,Asikka,,,
Asikainen,other,asikain,Asikainen,,,
Asikkala,other,asikkal,Asikkala,,,
Äsikkala,other,äsikkal,Äsikkala,,,
Asikkalakk,other,asikkalak,Asikkalakk,,,
Asila,other,asil,Asila,61.73218,27.52097,
Askainen,other,askain,Askainen,60.56667,21.86667,
Askäinen,other,askäin,Askäinen,,,
Askainenkk,other,askainenk,Askainenkk,,,
Asko,karelia,asko,Asko,,,
Askola,karelia,askol,Askola,,,
Askolakk,other,askolak,Askolakk,,,
Asola,other,asol,Asola,60.32973,25.05108,
Asser,other,asser,Asser,,,
asti,other,ast,asti,,,
Asuinp,,asuinp,Asuinp,,,
Asunta,other,asun,Asunta,,,
Ateneumin,other,ateneum,Ateneumin,,,
Atrea,karelia,atr,Atrea,,,
Attusaari,other,attusaar,Attusaari,,,
Attu,other,atu,Attu,60.18333,22.33333,
atulakk,karelia,atulak,atulakk,,,
August,other,august,August,,,
Aukusti,other,aukust,Aukusti,,,
Aulanko,other,aula,Aulanko,61.02259,24.4451,
Aulis,other,aulis,Aulis,,,
Aune,other,aune,Aune,,,
Aunuk,,aunuk,Aunuk,,,
Aunukksella,,aunukks,Aunukksella,,,
Aunukselinna,karelia,aunukselin,Aunukselinna,,,
Aunuksenlinna,karelia,aunuksenlin,Aunuksenlinna,,,
Aunus,karelia,aunus,Aunus,60.98475,32.96976,
Aura,other,aura,Aura,60.6471,22.58755,
Äura,other,äura,Äura,,,
Auraas,other,auraas,Auraas,,,
Aurakk,other,aurak,Aurakk,,,
Australia,other,austral,Australia,,,
Autti,other,aut,Autti,66.321,27.10813,
Auta,other,auta,Auta,,,
Autio,karelia,autio,Autio,,,
auto-onnettomuudessa,,auto-onnettomuud,auto-onnettomuudessa,,,
Autonkuljettaja,other,autonkuljettaj,Autonkuljettaja,,,
Autreaas,karelia,autreaas,Autreaas,,,
Auttoinen,other,auttoin,Auttoinen,61.29901,25.08887,
AuVa,,auva,AuVa,,,
Auvainen,other,auvain,Auvainen,60.99493,22.07862,
Auvaismäki,other,auvaismäk,Auvaismäki,60.57029,22.34564,
Auverberg,,auverberg,Auverberg,,,
Auvila,other,auvil,Auvila,62.08333,30.36667,
Auvinenviettää,other,auvinenviet,Auvinenviettää,,,
Auvoinen,other,auvoin,Auvoinen,,,
avijärvi,karelia,avijärv,avijärvi,,,
Avioit,,avioi,Avioit,,,
Ävräpää,karelia,ävräp,Ävräpää,,,
Äyiäpää,karelia,äyiäpä,Äyiäpää,,,
Äyräpä,karelia,äyrä,Äyrä,,,
Ayrapaä,karelia,ayrap,Ayrapaä,,,
Ayräpää,karelia,ayräp,Ayräpää,,,
Äyrapäa,karelia,äyrap,Äyrapäässä,,,
Äyräpää,karelia,äyräp,Äyräpää,60.71074,29.56867,
Äyräpää-,karelia,äyräpää-,Äyräpää-,,,
Äyräpääas,karelia,äyräpääas,Äyräpääas,,,
Äyräpääkk,karelia,äyräpääk,Äyräpääkk,,,
Äyräpäb,karelia,äyräpäb,Äyräpäb,,,
Äyräpäe,karelia,äyräpäe,Äyräpäe,,,
Äyräpäii,karelia,äyräpäi,Äyräpäii,,,
Äyräpäö,karelia,äyräpäö,Äyräpäö,,,
Äyräpäu,karelia,äyräpäu,Äyräpäu,,,
Äyräpoo,karelia,äyräpo,Äyräpoo,,,
Äyrlpää,karelia,äyrlp,Äyrlpää,,,
Äyröpää,karelia,äyröp,Äyröpäässä,,,
Äyrpää,karelia,äyrp,Äyrpää,,,
Äystö,other,äystö,Äystö,62.48058,21.92525,
Baku,,baku,Baku,,,
Basel,other,basel,Basel,,,
Belgia,other,belg,Belgia,,,
Belgrad,other,belgrad,Belgrad,,,
